fecha,codigo_producto,descripcion,tipo_transaccion,cantidad,precio_unitario
2025-08-01,CAM001,Camiseta Negra,compra,100,1500
2025-08-01,PAN002,Pantalón Jean,compra,80,3000
2025-08-01,ZAP003,Zapatillas Urbanas,compra,60,5000
2025-08-02,CAM001,Camiseta Negra,venta,5,2500
2025-08-03,PAN002,Pantalón Jean,venta,3,4500
2025-08-04,ZAP003,Zapatillas Urbanas,venta,2,7000
2025-08-05,CAM001,Camiseta Negra,venta,8,2500
2025-08-06,PAN002,Pantalón Jean,venta,5,4500
2025-08-07,CAM001,Camiseta Negra,venta,10,2500
2025-08-08,ZAP003,Zapatillas Urbanas,venta,4,7000
2025-08-09,PAN002,Pantalón Jean,venta,7,4500
2025-08-10,CAM001,Camiseta Negra,venta,12,2500
2025-08-11,ZAP003,Zapatillas Urbanas,venta,3,7000
2025-08-12,CAM001,Camiseta Negra,compra,100,1500
2025-08-12,PAN002,Pantalón Jean,compra,80,3000
2025-08-13,PAN002,Pantalón Jean,venta,6,4500
2025-08-14,CAM001,Camiseta Negra,venta,9,2500
2025-08-15,ZAP003,Zapatillas Urbanas,venta,5,7000
2025-08-16,PAN002,Pantalón Jean,venta,8,4500
2025-08-17,CAM001,Camiseta Negra,venta,11,2500
2025-08-18,ZAP003,Zapatillas Urbanas,venta,2,7000
2025-08-19,PAN002,Pantalón Jean,venta,10,4500
2025-08-20,CAM001,Camiseta Negra,venta,15,2500
2025-08-21,ZAP003,Zapatillas Urbanas,venta,6,7000
2025-08-22,PAN002,Pantalón Jean,venta,9,4500
2025-08-23,CAM001,Camiseta Negra,venta,13,2500
2025-08-24,ZAP003,Zapatillas Urbanas,compra,60,5000
2025-08-25,ZAP003,Zapatillas Urbanas,venta,4,7000
2025-08-26,PAN002,Pantalón Jean,venta,11,4500
2025-08-27,CAM001,Camiseta Negra,venta,10,2500
2025-08-28,ZAP003,Zapatillas Urbanas,venta,5,7000
2025-08-29,PAN002,Pantalón Jean,venta,12,4500
2025-08-30,CAM001,Camiseta Negra,venta,18,2500
2025-08-31,ZAP003,Zapatillas Urbanas,venta,7,7000
2025-09-01,CAM001,Camiseta Negra,compra,100,1500
2025-09-02,PAN002,Pantalón Jean,venta,4,4500
