fecha,codigo_producto,descripcion,tipo_transaccion,cantidad,precio_unitario
2025-06-15,CEL01,Celular Modelo X,compra,50,50000
2025-06-15,AUR02,Auriculares Pro,compra,100,8000
2025-06-15,CAR03,Cargador Rápido,compra,120,4000
2025-06-16,CEL01,Celular Modelo X,venta,3,75000
2025-06-17,AUR02,Auriculares Pro,venta,8,12000
2025-06-18,CAR03,Cargador Rápido,venta,10,6000
2025-06-20,CEL01,Celular Modelo X,venta,5,75000
2025-06-21,AUR02,Auriculares Pro,venta,12,12000
2025-06-22,CAR03,Cargador Rápido,venta,15,6000
2025-06-25,CEL01,Celular Modelo X,venta,4,75000
2025-06-28,AUR02,Auriculares Pro,venta,15,12000
2025-06-29,CAR03,Cargador Rápido,venta,18,6000
2025-07-01,CEL01,Celular Modelo X,compra,50,50000
2025-07-02,AUR02,Auriculares Pro,compra,100,8000
2025-07-05,CEL01,Celular Modelo X,venta,8,75000
2025-07-06,AUR02,Auriculares Pro,venta,10,12000
2025-07-10,CAR03,Cargador Rápido,venta,20,6000
2025-07-12,CEL01,Celular Modelo X,venta,6,75000
2025-07-13,AUR02,Auriculares Pro,venta,18,12000
2025-07-15,CAR03,Cargador Rápido,compra,120,4000
2025-07-18,CAR03,Cargador Rápido,venta,22,6000
2025-07-20,CEL01,Celular Modelo X,venta,10,75000
2025-07-21,AUR02,Auriculares Pro,venta,20,12000
2025-07-26,CEL01,Celular Modelo X,venta,12,75000
2025-07-27,AUR02,Auriculares Pro,venta,25,12000
2025-08-01,CEL01,Celular Modelo X,compra,50,50000
2025-08-02,AUR02,Auriculares Pro,compra,100,8000
2025-08-05,CEL01,Celular Modelo X,venta,15,75000
2025-08-06,AUR02,Auriculares Pro,venta,18,12000
2025-08-10,CAR03,Cargador Rápido,venta,30,6000
2025-08-12,CEL01,Celular Modelo X,venta,10,75000
2025-08-13,AUR02,Auriculares Pro,venta,22,12000
2025-08-18,CAR03,Cargador Rápido,venta,28,6000
2025-08-20,CEL01,Celular Modelo X,venta,18,75000
2025-08-21,AUR02,Auriculares Pro,venta,30,12000
2025-08-26,CEL01,Celular Modelo X,venta,16,75000
2025-08-27,AUR02,Auriculares Pro,venta,35,12000
2025-09-01,CEL01,Celular Modelo X,compra,50,50000
2025-09-02,CAR03,Cargador Rápido,venta,15,6000
2025-09-05,AUR02,Auriculares Pro,venta,10,12000
2025-09-08,CEL01,Celular Modelo X,venta,8,75000
2025-09-10,CAR03,Cargador Rápido,venta,12,6000
2025-09-13,AUR02,Auriculares Pro,venta,14,12000
